Author,Book,City,Chapter,Page,Location,Image,Longitude,Latitude,Context.esp,Context.eng,Characters,Reality,Category,Structure Type,Exactness
Leandro Pérez,Las cuatro torres,Madrid,1,17,Hotelucho de Gran Vía,,-3.709056,40.422082,Primer hotel donde queda Torca y donde trabaja Nerea,"Hotel where Torca stays in Madrid and where he meets Nerea, who works there",Torca,Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,1,17,peluquería centenaria,,-3.704409,40.417926,Peluqueria donde pasa tiempo cada viernes,Barber shop where Torca spends time every Friday,Torca,Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,1,18,Parque del Retiro,,-3.684458,40.415188,Parque donde Torca corre por las mañanas,Park where Torca runs,Torca,Real,Investigador,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,1,21,Torre de Cristal,,-3.686881,40.478264,Oficina de Marsé,Marsé's office,"Torca, Marsé",Mix,Víctima,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,1,24,Lateral Castellana 42,,-3.68765,40.433448,Bar donde Marsé y Torca hablan,Bar where Marsé and Torca meet,"Torca, Marsé",Real,Víctima,Bar Restaurant,1
Leandro Pérez,Las cuatro torres,Madrid,1,24,Estadio de Santiago Bernabéu,,-3.688314,40.453089,Lugar donde Marsé le ofrece trabajo a Torca,Place where Marsé proposes that Torca work with him,"Torca, Marsé",Real,Víctima,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,1,31,Chalé de Marsé,,-3.686226,40.448113,El domicilio de Marsé en El Viso,Marsé's home in El Viso,Marsé,Fictional,Víctima,Home,5
Leandro Pérez,Las cuatro torres,Madrid,2,38,Piso de Ramón Ribeyro,,-3.703556,40.596625,Juan Torca empieza a investigar a Ribeyro,Where Torca begins his investigation of Ribeyro,"Torca, Ribeyro",Mix,Sospechoso,Home,3
Leandro Pérez,Las cuatro torres,Madrid,2,43,Un restaurante en Comlenar Viejo,,-3.753416,40.659785,Juan Torca come aquí mientras duplica las llaves,Torca eats here while copying the keys,Torca,Mix,Investigador,Bar Restaurant,3
Leandro Pérez,Las cuatro torres,Madrid,2,50,Casa Lucio en Cava Baja,,-3.709684,40.41217,Marsé y Torca se reunen,Marsé and Torca meet,"Torca, Marsé",Real,Víctima,Bar Restaurant,1
Leandro Pérez,Las cuatro torres,Madrid,2,51,Torre de Cristal,,-3.686934,40.478337,Torca llega a la torre de cristal para pasar tiempo con Marse,Torca arrives here to spend time with Marsé,"Torca, Marsé",Real,Víctima,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,2,53,Hotelucho de Gran Vía,,-3.709056,40.422082,Marsé y Torca caminan al hotel de Torca,Marsé and Torca walk to Torca's hotel,"Torca, Marsé",Fictional,Víctima,Home,5
Leandro Pérez,Las cuatro torres,Madrid,2,57,Estadio de Santiago Bernabéu,,-3.688323,40.453111,Torca lleva Nerea al partido con las entradas de Marsé,Torca takes Nerea to the game with Marsé's tickets,"Torca, Nerea",Real,Investigador,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,3,60,Piso de Nerea en Lagasca,,-3.684878,40.429169,Torca y Nerea va a la casa de Nerea,Torca and Nerea go to Nerea's apartment,"Torca, Nerea",Fictional,Investigador,Home,5
